Unnamed,Angry,Disgust,Fear,Happy,Neutral,Sad,fileName,numResponses,agreement,emoVote,meanEmoResp,meanAngerResp,meanDisgustResp,meanFearResp,meanHappyResp,meanNeutralResp,meanSadResp,medianEmoResp,meanEmoRespNorm,meanAngerRespNorm,meanDisgustRespNorm,meanFearRespNorm,meanHappyRespNorm,meanNeutralRespNorm,meanSadRespNorm,medianEmoRespNorm
100001,0,0,0,1,10,0,1001_IEO_NEU_XX,11,0.9090909091,N,71.72727273,-1,-1,-1,98,69.1,-1,87,66.17131995,-1,-1,-1,97.89473684,62.99897826,-1,83.33333333
100003,0,0,0,4,7,0,1001_IEO_HAP_MD,11,0.6363636364,N,63.63636364,-1,-1,-1,56.5,67.71428571,-1,60,61.87471294,-1,-1,-1,55.16522989,65.70870325,-1,61.11111111
100012,0,3,5,0,3,0,1001_IEO_FEA_MD,11,0.4545454545,F,57,-1,48,65.8,-1,51.33333333,-1,57,53.86666917,-1,36.90193276,65.98853711,-1,50.62829234,-1,52.85714286
100013,2,3,3,1,2,0,1001_IEO_FEA_HI,11,0.2727272727,D:F,67.72727273,93,81.33333333,63.66666667,26,49,-1,76,64.53853397,92.63157895,81.4244186,52.51824572,27.77777778,47.52747253,-1,80.76923077
100014,0,2,1,0,7,1,1001_IEO_DIS_LO,11,0.6363636364,N,50.09090909,-1,46.5,22,-1,59.57142857,19,49,41.1255498,-1,40.92062341,9.090909091,-1,49.52782764,14.75409836,38.88888889
100015,1,1,1,0,8,0,1001_IEO_DIS_MD,11,0.7272727273,N,72.18181818,76,96,40,-1,72.75,-1,74,68.34198054,59.09090909,94.36619718,40.98360656,-1,69.66513414,-1,61.72839506
100016,6,4,0,1,0,0,1001_IEO_DIS_HI,11,0.5454545455,A,53.45454545,59.5,48.25,-1,38,-1,-1,42,43.85039484,51.04487307,38.81294286,-1,20.83333333,-1,-1,28.35820896
100020,5,4,0,0,2,0,1001_TIE_ANG_XX,11,0.4545454545,A,59.45454545,54.8,47.75,-1,-1,94.5,-1,62,47.4240308,45.97405462,29.49613547,-1,-1,86.9047619,-1,49.48453608
100021,7,1,1,0,2,0,1001_TIE_FEA_XX,11,0.6363636364,A,42.36363636,36.85714286,54,43,-1,55.5,-1,42,36.6403633,26.67582858,69.49152542,52.11267606,-1,47.35449735,-1,37.14285714
100023,0,1,0,4,6,0,1001_IOM_NEU_XX,11,0.5454545455,N,56.63636364,-1,60,-1,38,68.5,-1,60,49.44094147,-1,56.52173913,-1,31.02453981,60.53840964,-1,46.59090909
100024,1,0,0,4,6,0,1001_IOM_HAP_XX,11,0.5454545455,N,52.90909091,75,-1,-1,47.5,52.83333333,-1,52,46.49792151,70.23809524,-1,-1,39.76527368,47.02965777,-1,44.70588235
100025,2,0,1,0,8,0,1001_IOM_SAD_XX,11,0.7272727273,N,54.36363636,84,-1,70,-1,45,-1,60,47.78247626,76.87969925,-1,76.5625,-1,36.91066754,-1,48.68421053
100027,5,4,0,0,2,0,1001_IOM_FEA_XX,11,0.4545454545,A,67.72727273,67.2,66.25,-1,-1,72,-1,68,63.00886648,62.75931306,60.4543158,-1,-1,68.74185137,-1,64.40677966
100058,0,2,4,0,5,0,1001_ITH_DIS_XX,11,0.4545454545,N,55.45454545,-1,26,45.75,-1,75,-1,55,48.88386917,-1,21.84804443,34.53631503,-1,71.17624239,-1,34.42622951
100126,1,3,0,1,4,2,1002_MTI_FEA_XX,11,0.3636363636,N,57.18181818,61,65.66666667,-1,91,42.75,54.5,57,52.16946742,57.60869565,58.20910973,-1,90.2173913,34.99232102,55.72072072,53.33333333
100127,1,1,3,0,1,5,1002_MTI_DIS_XX,11,0.4545454545,S,61.09090909,22,68,80.66666667,-1,66,54.8,66,55.41728104,9.722222222,65.95744681,79.56624478,-1,55.84415584,47.87350644,55.84415584
